class,assigned_stage_type,global_id
chair,classroom,0
table,classroom,1
whiteboard,classroom,2
computer,office,3
desk,office,4
keyboard,office,5
box,office,6
drawer,office,7
shelf,office,8
garbage_bin,office,9
mouse,office,10
printer,office,11
book,office,12
monitor,office,13
paper,office,14
cup,office,15
laptop,office,16
bed,bedroom,17
pillow,bedroom,18
lamp,bedroom,19
night_stand,bedroom,20
sofa,bedroom,21
dresser,bedroom,22
tv,bedroom,23
curtain,bedroom,24
cabinet,bedroom,25
door,bedroom,26
mirror,bedroom,27
bookshelf,bedroom,28
painting,bedroom,29
