stage,scene_type,class,global_id,assign_nsc,postfilter_nsc,below_floor
1,classroom,chair,0,474,336,False
1,classroom,table,1,236,176,False
1,classroom,whiteboard,2,69,50,False
2,office,computer,3,240,208,False
2,office,desk,4,215,185,False
2,office,keyboard,5,102,96,False
2,office,box,6,83,61,False
2,office,drawer,7,60,48,False
2,office,shelf,8,54,41,False
2,office,garbage_bin,9,46,35,False
2,office,mouse,10,46,44,False
2,office,printer,11,41,35,False
2,office,book,12,38,34,False
2,office,monitor,13,35,30,False
2,office,paper,14,29,26,False
2,office,cup,15,27,22,False
2,office,laptop,16,26,25,False
3,bedroom,bed,17,341,341,False
3,bedroom,pillow,18,172,172,False
3,bedroom,lamp,19,141,141,False
3,bedroom,night_stand,20,134,134,False
3,bedroom,sofa,21,76,76,False
3,bedroom,dresser,22,63,63,False
3,bedroom,tv,23,61,61,False
3,bedroom,curtain,24,35,35,False
3,bedroom,cabinet,25,34,34,False
3,bedroom,door,26,25,25,False
3,bedroom,mirror,27,24,24,False
3,bedroom,bookshelf,28,23,23,False
3,bedroom,painting,29,22,22,False
